id;name;occupation;contained_in_original_file;area
101.0;Общество с ограниченной ответственностью «Вега 2021»;;no;
102.0;Общество с ограниченной ответственностью «Важные иноагенты»;;no;
103.0;Общество с ограниченной ответственностью «ЗП»;;no;
104.0;Общество с ограниченной ответственностью «Зона права»;;no;
105.0;Общество с ограниченной ответственностью «ЖУРНАЛИСТ-ИНОСТРАННЫЙ АГЕНТ»;;no;
106.0;Общество с ограниченной ответственностью «Мемо»;;no;
107.0;Американская компания «Mason G.E.S. Anonymous Foundation»;;no;
108.0;Компания «Stichting Bellingcat»;;no;
109.0;Автономная некоммерческая организация по защите прав человека и информированию населения «Якутия — Наше Мнение»;;no;
110.0;Общество с ограниченной ответственностью «Москоу диджитал медиа»;;no;
111.0;Акционерное общество «РС-Балт»;;no;
112.0;Общество с ограниченной ответственностью «Как бы инагент»;;no;
113.0;Фонд развития книжной культуры «Иркутский союз библиофилов»;;no;
114.0;Общество с ограниченной ответственностью «Честные выборы»;;no;
115.0;Общество с ограниченной ответственностью «Нобелевский призыв»;;no;
116.0;Общество с ограниченной ответственностью «Данное сообщение»;;no;
117.0;Общество с ограниченной ответственностью «Номер семьдесят семь»;;no;
118.0;Общество с ограниченной ответственностью «ЛПНМ»;;no;
119.0;Общество с ограниченной ответственностью Издательский дом «Новая глава»;;no;
120.0;Общество с ограниченной ответственностью «Новогодний выпуск»;;no;
121.0;Общество с ограниченной ответственностью «Процесс 2021»;;no;
122.0;Deutsche Welle;;no;
123.0;Общество с ограниченной ответственностью «Апология»;;no;
124.0;Общество с ограниченной ответственностью «Лиза норм»;;no;
125.0;Общество с ограниченной ответственностью «Апрельские тезисы»;;no;
126.0;Общество с ограниченной ответственностью «Первый научный»;;no;
127.0;Общество с ограниченной ответственностью «Вертолёт и КО»;;no;
128.0;Общество с ограниченной ответственностью «Иноагент ААВ»;;no;
129.0;Общество с ограниченной ответственностью «Новости»;;no;
130.0;Общество с ограниченной ответственностью «Время колокольчиков»;;no;
131.0;Общество с ограниченной ответственностью «Вольные люди»;;no;
132.0;Общество с ограниченной ответственностью «Иновещание»;;no;
133.0;Общество с ограниченной ответственностью «Букмейт Лимитед»;;no;
134.0;Московский региональный общественный благотворительный фонд «Социальное партнёрство»;;no;
135.0;Общество с ограниченной ответственностью «Город без преград»;;no;
136.0;Пономарёв Лев Александрович;правозащитник;yes;правозащитник
137.0;Савицкая Людмила Алексеевна;журналистка Радио «Свобода»;yes;журналист
138.0;Маркелов Сергей Евгеньевич;журналист «7x7»;yes;журналист
139.0;Камалягин Денис Николаевич;главный редактор «Псковской губернии»;yes;Главный редактор
140.0;Апахончич Дарья Александровна;художница-акционистка;yes;Художник
141.0;Баданин Роман Сергеевич;главный редактор «Проекта»;yes;Главный редактор
142.0;Гликин Максим Александрович;журналист «Открытых медиа»;yes;журналист
143.0;Маняхин Пётр Борисович;журналист «Проекта»;yes;журналист
144.0;Ярош Юлия Петровна;журналистка «Открытых медиа»;yes;журналист
145.0;Чуракова Ольга Владимировна;журналистка «Проекта»;yes;журналист
146.0;Железнова Мария Михайловна;журналистка «Проекта»;yes;журналист
147.0;Лукьянова Юлия Сергеевна;журналистка «Проекта»;yes;журналист
148.0;Маетная Елизавета Витальевна;журналистка Радио «Свобода»;yes;журналист
149.0;Рубин Михаил Аркадьевич;журналист «Проекта»;yes;журналист
150.0;Гройсман Софья Романовна;журналистка «Проекта»;yes;журналист
151.0;Рождественский Илья Дмитриевич;журналист «Открытых медиа»;yes;журналист
152.0;Апухтина Юлия Владимировна;журналистка «Проекта»;yes;журналист
153.0;Постернак Алексей Евгеньевич;журналист Радио «Свобода»;yes;журналист
154.0;Петров Степан Юрьевич;руководитель общественного движения «Якутия — Наше Мнение»;yes;Руководитель
155.0;Шмагун Олеся Валентиновна;журналистка «Важных историй»;yes;журналист
156.0;Мароховская Алеся Алексеевна;журналистка «Важных историй»;yes;журналист
