id,name,occupation,contained_in_original_file
721,Степанов Олег Олегович,"политик, координатор московского штаба Алексея Навального",yes
722,Общество с ограниченной ответственностью «Собеседник-Медиа»,общероссийская еженедельная общественно-политическая газета,yes
723,Генис Александр Александрович,"писатель, радиоведущий",yes
724,Гуляев Сергей Владимирович,"журналист, политик, депутат Законодательного собрания Санкт-Петербурга III созыва",yes
725,Урушадзе Георгий Фридонович,"журналист, книгоиздатель",yes
726,Фельштинский Юрий Георгиевич,историк,yes
727,Эткинд Александр Маркович,"культуролог, литературовед",yes
728,Проект «Центр «Досье»,,no
729,Барановский Алексей Александрович,"журналист, общественный деятель",yes
730,Волна Андрей Анатольевич,врач-травматолог,yes
731,Илюхин Сергей Валерьевич,депутат Городского совета Северодвинска,yes
732,Константинов Даниил Ильич,"политик, юрист, правозащитник",yes
733,Матвейченков Максим Владимирович,"журналист, экономический обозреватель под псевдонимом «Максим Блант»",yes
734,Проект «Ateo»,Telegram-канал,yes
735,Кавказский Николай Юрьевич,"политик, член партии «Яблоко»",yes
736,Лекманов Олег Андершанович,литературовед,yes
737,Медведев Артём Павлович,"бизнесмен, активист из Удмуртии",yes
738,Хардин Антон Александрович,блогер,yes
739,Интернет-портал «ASTRA»,Telegram-канал,yes
740,Архангельский Александр Николаевич,"литературовед, публицист",yes
741,Горбачёв Александр Витальевич,музыкальный журналист,yes
742,Зуева Анна Сергеевна,"журналистка, блогер",yes
743,Серёгин Алексей Александрович,журналист,yes
744,Абдурахманов Тумсо Умалтович,чеченский политический и общественный деятель,yes
745,Алесин Денис Владимирович,стендап-комик под псевдонимом «Денис Чужой»,yes
746,Трещанин Дмитрий Евгеньевич,"журналист, редактор «Медиазоны»",yes
747,Проект «Говорит НеМосква»,,no
748,Афанасьева Вера Владимировна,"физик, философ, писатель",yes
749,Ториев Магомед Идрисович,"журналист, правозащитник",yes
750,Ваганов Вадим Александрович,ЛГБТ-активист,yes
751,Шеин Олег Васильевич,"общественный и политический деятель, депутат Государственной Думы III, IV, V, VI и VII созывов",yes
752,Становая Татьяна Анатольевна,политолог,yes
753,Исследовательский центр «Сова»,,no
754,Проект «Радио Сахаров»,онлайн-радио и подкаст-платформа команды Сахаровского центра,yes
755,Марголис Екатерина Леонидовна,"художник, публицист",yes
756,Осмоловский Анатолий Феликсович,художник,yes
757,Поночевный Игорь Васильевич,художник под псевдонимом «Алёша Ступин»,yes
758,Белокиев Ислам Русланович,блогер,yes
759,Ивлева-Йорк Виктория Марковна,"журналистка, фотограф",yes
760,Полозов Николай Николаевич,адвокат,yes
761,Узаров Хасан Ганиевич,блогер под псевдонимом «Хасан Халитов»,yes
762,Проект «Лаборатория университетской прозрачности»,,no
