id;name;occupation;contained_in_original_file;area
785;Зицер Вадим Семёнович;педагог-практик, писатель, журналист под псевдонимом «Дима Зицер»;yes;Педагог, писатель, журналист
;;;;
963;Золотаревский Борис Михайлович;активист;yes;активист
890;Зубарева Раиса Дмитриевна;активистка, соосновательница фонда «Свободная Якутия»;yes;Активист, соосновательница фонда
846;Зудиева Лутфие Ремзиевна;крымско-татарская журналистка;yes;Журналист
;;;;
742;Зуева Анна Сергеевна;журналистка, блогер;yes;Журналист, блогер
;;;;
759;Ивлева-Йорк Виктория Марковна;журналистка, фотограф;yes;Журналист, фотограф
;;;;
778;Ившина Ольга Яковлевна;журналистка «Би-би-си»;yes;Журналист
;;;;
831;Издание «Гласная»;социальный журналистский проект на русском языке, чьи публикации направлены на преодоление стереотипов и продвижение гендерного равноправия в российском обществе;yes;
;;;;
731;Илюхин Сергей Валерьевич;депутат Городского совета Северодвинска;yes;Депутат
;;;;
885;Иманова Тамилла Вагиф кызы;правозащитница, юрист из «Мемориала»;yes;Правозащитник, юрист
978;Интернет-издание «Аспекты Башкортостана»;интернет-издание, которое публикует материалы по различным темам, связанным с жизнью Башкортостана;yes;
902;Интернет-портал «Activatica.org»;;no;
;;;;
1010;Интернет-портал «ASTRA»;Telegram-канал;yes;
826;Интернет-проект «Объектив»;;no;
;;;;
886;Иордатий Дмитрий Николаевич;рэп-исполнитель под псевдонимами «Наум Блик» и «Dry Ice», сооснователь рэп-группы «EkPlayaz»;yes;Исполнитель
753;Исследовательский центр «Сова»;;no;
;;;;
926;Ицхоки Олег Евгеньевич;экономист, профессор Гарвардского университета;yes;Экономист, профессор
735;Кавказский Николай Юрьевич;политик, член партии «Яблоко»;yes;Политик
;;;;
868;Калганов Рустам Петрович;блогер под псевдонимом «Рустам Солнцев», бывший участник проекта «Дом-2»;yes;Блогер
942;Калитин Андрей Сергеевич;журналист;yes;Журналист
984;Канкия Давид Николаевич;координатор движения «Голос» в Краснодарском крае;yes;Координатор движения
832;Каретникова Анна Георгиевна;правозащитница;yes;Правозащитник
;;;;
897;Кириллова Ксения Валерьевна;журналистка;yes;Журналист
769;Кирия Ксения Дмитриевна;журналистка, телеведущая, сотрудница радиостанции «Голос Америки»;yes;Журналист, ведущий
;;;;
810;Климов Антон Михайлович;экс-муниципальный депутат Ленинградской области;yes;Депутат
;;;;
779;Климов Максим Евгеньевич;экс-глава белгородского штаба Алексея Навального;yes;Глава штаба
;;;;
887;Клыга Артём Александрович;юрист, правозащитник;yes;Правозащитник, юрист
764;Ковалёв Алексей Андреевич;журналист;yes;Журналист
;;;;
770;Козенко Андрей Дмитриевич;журналист;yes;Журналист, блогер
;;;;
869;Козловский Олег Юрьевич;правозащитник;yes;Правозащитник
833;Козырев Андрей Владимирович;1-й министр иностранных дел Российской Федерации (1990–1996);yes;Министр иностранных дел
;;;;
847;Комин Михаил Олегович;политолог;yes;Политолог
;;;;
819;Комиссаров Станислав Андреевич;уличный художник под псевдонимом «Слава ПТРК»;yes;Художник
;;;;
732;Константинов Даниил Ильич;политик, юрист, правозащитник;yes;Политик, юрист, правозащитник
;;;;
914;Кордочкин Андрей Борисович;протоиерей, клирик Испано-Португальской епархии РПЦ;yes;Протоиерей, клирик
853;Королёв Андрей Владимирович;журналист;yes;Журналист
971;Костюченко Елена Геннадьевна;журналистка, писательница, ЛГБТ-активистка;yes;Журналист, писатель, активист
972;Кривошеев Кирилл Сергеевич;журналист, специалист по постсоветскому пространству, бывший сотрудник издания «Коммерсантъ», автор Фонда Карнеги;yes;Журналист
921;Кривцова Олеся Романовна;активистка, бывшая студентка САФУ;yes;Активист
964;Крисевич Павел Олегович;общественный деятель, акционист;yes;общественный деятель, акционист
922;Кротенко Евгений Андреевич;журналист;yes;Журналист
908;Кротов Марк Яковлевич;журналист;yes;Журналист
943;Кудрявцев Демьян Борисович;медиаменеджер, предприниматель;yes;Предприниматель
923;Кузнецов Борис Аврамович;адвокат, бывший сотрудник уголовного розыска;yes;Адвокат
956;Кузьмичёва Ирина Владиславовна;журналистка под псевдонимом «Новик Ирина»;yes;Журналист
801;Кунгуров Алексей Анатольевич;журналист, писатель, политтехнолог;yes;Журналист, писатель, технолог
1072;Кунгуров Алексей Анатольевич;журналист, писатель, политтехнолог;yes;
909;Курмояров Иоанн Валерьевич;экс-иеромонах РПЦ;yes;Иеромонах РПЦ
932;Куропов Сергей Викторович;журналист, бывший сотрудник ВГТРК;yes;Журналист
870;Кутаев Руслан Махамдиевич;бывший вице-премьер Чеченской Республики Ичкерия (1996—1997), президент «Ассамблеи народов Кавказа»;yes;Вице-премьер
811;Левшиц Николай Дмитриевич;автор русскоязычного Telegram-канала о Грузии;yes;Автор канала
;;;;
736;Лекманов Олег Андершанович;литературовед;yes;Литературовед
;;;;
780;Лешкевич Владислав Валерьевич;рэп-исполнитель под псевдонимом «Влади»;yes;Исполнитель
;;;;
807;Лирник Антон Анатольевич;украинский актёр, шоумен, телеведущий;yes;Актер, шоумен, ведущий
;;;;
975;Литвин Антон Викторович;художник, медиа-артист, куратор и общественный деятель, политолог и организатор крупных культурных мероприятий чешско-русской направленности;yes;художник, куратор, общественный деятель, политолог
891;Литвишко Дарья Алексеевна;журналистка, соавтор YouTube-канала «Разворот»;yes;Журналист
771;Лотарева Анастасия Александровна;экс-главный редактор «Таких дел»;yes;Главный редактор
;;;;
848;Лученко Ксения Валерьевна;журналистка, публицистка, филолог;yes;Журналист, публицист, филолог
;;;;
829;Лушников Алексей Германович;телеведущий, публицист, политический аналитик;yes;Ведущий, публицист, аналитик
;;;;
765;Львов Андрей Генриевич;бывший настоятель храма Серафима Саровского в Иванове;yes;Настоятель храма
;;;;
755;Марголис Екатерина Леонидовна;художник, публицист;yes;Художник, публицист
;;;;
915;Марков Сергей Александрович;политолог, депутат Государственной думы Российской Федерации V созыва, бывший член Общественной палаты РФ, член ПАСЕ (2007—2011), доверенное лицо Владимира Путина в 2012 году;yes;Политолог, депутат
986;Маршенкулова Залина Хамидовна;феминистка, журналистка;yes;Журналист
980;Масхадов Анзор Асланович;общественный деятель, сын 2-го президента Чеченской Республики Ичкерия Аслана Масхадова;yes;общественный деятель
733;Матвейченков Максим Владимирович;журналист, экономический обозреватель под псевдонимом «Максим Блант»;yes;Журналист
;;;;
737;Медведев Артём Павлович;бизнесмен, активист из Удмуртии;yes;Бизнесмен, активист
;;;;
955;Медиа-проект «Острый угол»;независимый общественно-политический YouTube-канал, рассказывающий об истории современной России и её политике;yes;
;;;;
1038;Медиа-проект «Страна и мир. Sakharov Review»;;no;
940;Медиапроект «Avtozak-LIVE»;проект, освещавший протесты в России и задержания их участников;yes;
882;Медиапроект «Горби медиа»;;no;
;;;;
1121;Международная общественная организация «Независимая ассоциация врачей»;;no;
766;Меньшиков Андрей Владимирович;рэп-исполнитель под псевдонимом «Лигалайз»;yes;Исполнитель
;;;;
