article_number;name;law_type
110;Доведение до самоубийства;УК РФ
110.1;Склонение к совершению самоубийства или содействие совершению самоубийства;УК РФ
110.2;Организация деятельности, направленной на побуждение к совершению самоубийства;УК РФ
111;Умышленное причинение тяжкого вреда здоровью;УК РФ
112;Умышленное причинение средней тяжести вреда здоровью;УК РФ
113;Причинение тяжкого или средней тяжести вреда здоровью в состоянии аффекта;УК РФ
114;Причинение тяжкого или средней тяжести вреда здоровью при превышении пределов необходимой обороны либо при превышении мер, необходимых для задержания лица, совершившего преступление;УК РФ
115;Умышленное причинение легкого вреда здоровью;УК РФ
116;Побои;УК РФ
116.1;Нанесение побоев лицом, подвергнутым административному наказанию;УК РФ
117;Истязание;УК РФ
118;Причинение тяжкого вреда здоровью по неосторожности;УК РФ
119;Угроза убийством или причинением тяжкого вреда здоровью;УК РФ
120;Принуждение к изъятию органов или тканей человека для трансплантации;УК РФ
121;Заражение венерической болезнью;УК РФ
122;Заражение ВИЧ-инфекцией;УК РФ
123;Незаконное проведение искусственного прерывания беременности;УК РФ
124;Неоказание помощи больному;УК РФ
124.1;Воспрепятствование оказанию медицинской помощи;УК РФ
125;Оставление в опасности;УК РФ
126;Похищение человека;УК РФ
127;Незаконное лишение свободы;УК РФ
127.1;Торговля людьми;УК РФ
127.2;Использование рабского труда;УК РФ
128;Незаконная госпитализация в медицинскую организацию, оказывающую психиатрическую помощь в стационарных условиях;УК РФ
128.1;Клевета;УК РФ
129;Утратила силу. - Федеральный закон от 07.12.2011 N 420-ФЗ.;УК РФ
130;Утратила силу. - Федеральный закон от 07.12.2011 N 420-ФЗ.;УК РФ
131;Изнасилование;УК РФ
132;Насильственные действия сексуального характера;УК РФ
133;Понуждение к действиям сексуального характера;УК РФ
134;Половое сношение и иные действия сексуального характера с лицом, не достигшим шестнадцатилетнего возраста;УК РФ
135;Развратные действия;УК РФ
136;Нарушение равенства прав и свобод человека и гражданина;УК РФ
137;Нарушение неприкосновенности частной жизни;УК РФ
138;Нарушение тайны переписки, телефонных переговоров, почтовых, телеграфных или иных сообщений;УК РФ
138.1;Незаконный оборот специальных технических средств, предназначенных для негласного получения информации;УК РФ
139;Нарушение неприкосновенности жилища;УК РФ
140;Отказ в предоставлении гражданину информации;УК РФ
141;Воспрепятствование осуществлению избирательных прав или работе избирательных комиссий;УК РФ
141.1;Нарушение порядка финансирования избирательной кампании кандидата, избирательного объединения, деятельности инициативной группы по проведению референдума, иной группы участников референдума;УК РФ
142;Фальсификация избирательных документов, документов референдума;УК РФ
142.1;Фальсификация итогов голосования;УК РФ
142.2;Незаконные выдача и получение избирательного бюллетеня, бюллетеня для голосования на референдуме;УК РФ
143;Нарушение требований охраны труда;УК РФ
144;Воспрепятствование законной профессиональной деятельности журналистов;УК РФ
144.1;Необоснованный отказ в приеме на работу или необоснованное увольнение лица, достигшего предпенсионного возраста;УК РФ
145;Необоснованный отказ в приеме на работу или необоснованное увольнение беременной женщины или женщины, имеющей детей в возрасте до трех лет;УК РФ
145.1;Невыплата заработной платы, пенсий, стипендий, пособий и иных выплат;УК РФ
146;Нарушение авторских и смежных прав;УК РФ
147;Нарушение изобретательских и патентных прав;УК РФ
148;Нарушение права на свободу совести и вероисповеданий;УК РФ
149;Воспрепятствование проведению собрания, митинга, демонстрации, шествия, пикетирования или участию в них;УК РФ
150;Вовлечение несовершеннолетнего в совершение преступления;УК РФ
151;Вовлечение несовершеннолетнего в совершение антиобщественных действий;УК РФ
151.1;Розничная продажа несовершеннолетним алкогольной продукции;УК РФ
151.2;Вовлечение несовершеннолетнего в совершение действий, представляющих опасность для жизни несовершеннолетнего;УК РФ
152;Утратила силу. - Федеральный закон от 08.12.2003 N 162-ФЗ.;УК РФ
153;Подмена ребенка;УК РФ
154;Незаконное усыновление (удочерение);УК РФ
155;Разглашение тайны усыновления (удочерения);УК РФ
156;Неисполнение обязанностей по воспитанию несовершеннолетнего;УК РФ
157;Неуплата средств на содержание детей или нетрудоспособных родителей;УК РФ
158;Кража;УК РФ
158.1;Мелкое хищение, совершенное лицом, подвергнутым административному наказанию;УК РФ
159;Мошенничество;УК РФ
159.1;Мошенничество в сфере кредитования;УК РФ
159.2;Мошенничество при получении выплат;УК РФ
159.3;Мошенничество с использованием электронных средств платежа;УК РФ
159.4;Утратила силу. - Федеральный закон от 03.07.2016 N 325-ФЗ.;УК РФ
159.5;Мошенничество в сфере страхования;УК РФ
159.6;Мошенничество в сфере компьютерной информации;УК РФ
160;Присвоение или растрата;УК РФ
161;Грабеж;УК РФ
162;Разбой;УК РФ
163;Вымогательство;УК РФ
164;Хищение предметов, имеющих особую ценность;УК РФ
165;Причинение имущественного ущерба путем обмана или злоупотребления доверием;УК РФ
